20,--..
21,...-
22,-.
11,.-.
12,-
13,-.-.
14,-..
1,..
2,....
3,..-.
4,--.
15,.-
16,.--.
17,...
23,-.--
24,.--
25,---
26,--
5,.
6,--.-
7,.---
8,-.-
9,..-
10,-...
18,.-..
19,-..-
